,Adult UBI,Personal Allowance,Basic rate addition,Higher/additional rate increase ratio,Personal Allowance reduction,Higher rate addition,Basic rate addition (x100),Additional rate addition,UBI/Increase ratio combination,Label,Higher rate,Add. rate,PolicyEngine link
0,2400,12570,0.3291015625,0,0,0.0,32.91015625,0.0,0%                        ,"A £2,400 UBI and £12,570 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 53%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=52.9&higher_rate=40.0&add_rate=45.0&personal_allowance=12570&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
9,2400,12000,0.3076171875,0,570,0.0,30.76171875,0.0,0%                        ,"A £2,400 UBI and £12,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 51%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=50.8&higher_rate=40.0&add_rate=45.0&personal_allowance=12000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
18,2400,11000,0.2763671875,0,1570,0.0,27.63671875,0.0,0%                        ,"A £2,400 UBI and £11,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 48%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=47.6&higher_rate=40.0&add_rate=45.0&personal_allowance=11000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
27,2400,10000,0.2451171875,0,2570,0.0,24.51171875,0.0,0%                        ,"A £2,400 UBI and £10,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 45%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=44.5&higher_rate=40.0&add_rate=45.0&personal_allowance=10000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
36,2400,9000,0.2177734375,0,3570,0.0,21.77734375,0.0,0%                        ,"A £2,400 UBI and £9,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 42%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=41.8&higher_rate=40.0&add_rate=45.0&personal_allowance=9000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
45,2400,8000,0.1923828125,0,4570,0.0,19.23828125,0.0,0%                        ,"A £2,400 UBI and £8,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 39%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=39.2&higher_rate=40.0&add_rate=45.0&personal_allowance=8000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
54,2400,7000,0.1669921875,0,5570,0.0,16.69921875,0.0,0%                        ,"A £2,400 UBI and £7,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 37%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=36.7&higher_rate=40.0&add_rate=45.0&personal_allowance=7000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
63,2400,6000,0.1455078125,0,6570,0.0,14.55078125,0.0,0%                        ,"A £2,400 UBI and £6,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 35%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=34.6&higher_rate=40.0&add_rate=45.0&personal_allowance=6000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
72,2400,5000,0.1240234375,0,7570,0.0,12.40234375,0.0,0%                        ,"A £2,400 UBI and £5,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 32%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=32.4&higher_rate=40.0&add_rate=45.0&personal_allowance=5000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
81,2400,4000,0.1064453125,0,8570,0.0,10.64453125,0.0,0%                        ,"A £2,400 UBI and £4,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 31%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=30.6&higher_rate=40.0&add_rate=45.0&personal_allowance=4000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
90,2400,3000,0.0888671875,0,9570,0.0,8.88671875,0.0,0%                        ,"A £2,400 UBI and £3,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 29%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=28.9&higher_rate=40.0&add_rate=45.0&personal_allowance=3000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
99,2400,2000,0.0751953125,0,10570,0.0,7.51953125,0.0,0%                        ,"A £2,400 UBI and £2,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 28%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=27.5&higher_rate=40.0&add_rate=45.0&personal_allowance=2000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
108,2400,1000,0.0615234375,0,11570,0.0,6.15234375,0.0,0%                        ,"A £2,400 UBI and £1,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 26%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=26.2&higher_rate=40.0&add_rate=45.0&personal_allowance=1000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
117,2400,0,0.0478515625,0,12570,0.0,4.78515625,0.0,0%                        ,"A £2,400 UBI and £0 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 25%, 40% and 45% respectively.",0.4,0.45,https://policyengine.org/uk/population-impact?basic_rate=24.8&higher_rate=40.0&add_rate=45.0&personal_allowance=0&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
1,2400,12570,0.2998046875,1,0,0.2998046875,29.98046875,0.2998046875,100%                        ,"A £2,400 UBI and £12,570 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 50%, 70% and 75% respectively.",0.6998046875,0.7498046875,https://policyengine.org/uk/population-impact?basic_rate=50.0&higher_rate=70.0&add_rate=75.0&personal_allowance=12570&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
10,2400,12000,0.2822265625,1,570,0.2822265625,28.22265625,0.2822265625,100%                        ,"A £2,400 UBI and £12,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 48%, 68% and 73% respectively.",0.6822265625,0.7322265625,https://policyengine.org/uk/population-impact?basic_rate=48.2&higher_rate=68.2&add_rate=73.2&personal_allowance=12000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
19,2400,11000,0.2548828125,1,1570,0.2548828125,25.48828125,0.2548828125,100%                        ,"A £2,400 UBI and £11,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 45%, 65% and 70% respectively.",0.6548828125,0.7048828125,https://policyengine.org/uk/population-impact?basic_rate=45.5&higher_rate=65.5&add_rate=70.5&personal_allowance=11000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
28,2400,10000,0.2275390625,1,2570,0.2275390625,22.75390625,0.2275390625,100%                        ,"A £2,400 UBI and £10,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 43%, 63% and 68% respectively.",0.6275390625,0.6775390625,https://policyengine.org/uk/population-impact?basic_rate=42.8&higher_rate=62.8&add_rate=67.8&personal_allowance=10000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
37,2400,9000,0.2021484375,1,3570,0.2021484375,20.21484375,0.2021484375,100%                        ,"A £2,400 UBI and £9,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 40%, 60% and 65% respectively.",0.6021484375,0.6521484375,https://policyengine.org/uk/population-impact?basic_rate=40.2&higher_rate=60.2&add_rate=65.2&personal_allowance=9000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
46,2400,8000,0.1787109375,1,4570,0.1787109375,17.87109375,0.1787109375,100%                        ,"A £2,400 UBI and £8,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 38%, 58% and 63% respectively.",0.5787109375,0.6287109375,https://policyengine.org/uk/population-impact?basic_rate=37.9&higher_rate=57.9&add_rate=62.9&personal_allowance=8000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
55,2400,7000,0.1572265625,1,5570,0.1572265625,15.72265625,0.1572265625,100%                        ,"A £2,400 UBI and £7,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 36%, 56% and 61% respectively.",0.5572265625,0.6072265625,https://policyengine.org/uk/population-impact?basic_rate=35.7&higher_rate=55.7&add_rate=60.7&personal_allowance=7000&higher_threshold=50270&adult_bi=46.15&senior_bi=46.15&child_bi=23.08&baseline_country_specific=NORTHERN_IRELAND
